time,technology,spatial,0
1,Solar,FRG0,0.0
1,Solar,FRH0,0.0
1,Solar,FRI1,0.0
1,Solar,FRI2,0.0
1,Solar,FRI3,0.0
1,Solar,FRJ1,0.0
1,Solar,FRJ2,0.0
1,Solar,FRK1,0.0
1,Solar,FRK2,0.0
1,Solar,FRL0,0.0
1,Solar,FRM0,0.0
1,Solar,EL30,0.0
1,Solar,EL41,0.0
1,Solar,EL42,0.0
1,Solar,EL51,0.0
1,Solar,EL52,0.0
1,Solar,EL53,0.0
1,Solar,EL54,0.0
1,Solar,EL61,0.0
1,Solar,EL62,0.0
1,Solar,EL63,0.0
1,Solar,EL64,0.0
1,Solar,EL65,0.0
1,Solar,HR02,0.0
1,Solar,HR03,0.0
1,Solar,HR05,0.0
1,Solar,HR06,0.0
1,Solar,HU11,0.0
1,Solar,HU12,0.0
1,Solar,HU21,0.0
1,Solar,HU22,0.0
1,Solar,HU23,0.0
1,Solar,HU31,0.0
1,Solar,HU32,0.0
1,Solar,HU33,0.0
1,Solar,IE04,0.0
1,Solar,IE05,0.0
1,Solar,IE06,0.0
1,Solar,ITC1,0.0
1,Solar,ITC2,0.0
1,Solar,ITC3,0.0
1,Solar,ITC4,0.0
1,Solar,ITF1,0.0
1,Solar,ITF2,0.0
1,Solar,ITF3,0.0
1,Solar,ITF4,0.0
1,Solar,ITF5,0.0
1,Solar,ITF6,0.0
1,Solar,ITG1,0.0
1,Solar,ITG2,0.0
1,Solar,ITH1,0.0
1,Solar,ITH2,0.0
1,Solar,ITH3,0.0
1,Solar,ITH4,0.0
1,Solar,ITH5,0.0
1,Solar,ITI1,0.0
1,Solar,ITI2,0.0
1,Solar,ITI3,0.0
1,Solar,ITI4,0.0
1,Solar,LT01,0.0
1,Solar,LT02,0.0
1,Solar,LU00,0.0
1,Solar,LV00,0.0
1,Solar,NL11,0.0
1,Solar,NL12,0.0
1,Solar,NL13,0.0
1,Solar,NL21,0.0
1,Solar,NL22,0.0
1,Solar,NL23,0.0
1,Solar,NL31,0.0
1,Solar,NL32,0.0
1,Solar,NL33,0.0
1,Solar,NL34,0.0
1,Solar,NL41,0.0
1,Solar,NL42,0.0
1,Solar,NO02,0.0
1,Solar,NO06,0.0
1,Solar,NO07,0.0
1,Solar,NO08,0.0
1,Solar,NO09,0.0
1,Solar,NO0A,0.0
1,Solar,PL21,0.0
1,Solar,PL22,0.0
1,Solar,PL41,0.0
1,Solar,PL42,0.0
1,Solar,PL43,0.0
1,Solar,PL51,0.0
1,Solar,PL52,0.0
1,Solar,PL61,0.0
1,Solar,PL62,0.0
1,Solar,PL63,0.0
1,Solar,PL71,0.0
1,Solar,PL72,0.0
1,Solar,PL81,0.0
1,Solar,PL82,0.0
1,Solar,PL84,0.0
1,Solar,PL91,0.0
1,Solar,PL92,0.0
1,Solar,PT11,0.0
1,Solar,PT15,0.0
1,Solar,PT16,0.0
1,Solar,PT17,0.0
1,Solar,PT18,0.0
1,Solar,RO11,0.0
1,Solar,RO12,0.0
1,Solar,RO21,0.0
1,Solar,RO22,0.0
1,Solar,RO31,0.0
1,Solar,RO32,0.0
1,Solar,RO41,0.0
1,Solar,RO42,0.0
1,Solar,SE11,0.0
1,Solar,SE12,0.0
1,Solar,SE21,0.0
1,Solar,SE22,0.0
1,Solar,SE23,0.0
1,Solar,SE31,0.0
1,Solar,SE32,0.0
1,Solar,SE33,0.0
1,Solar,SI03,0.0
1,Solar,SI04,0.0
1,Solar,SK01,0.0
1,Solar,SK02,0.0
1,Solar,SK03,0.0
1,Solar,SK04,0.0
1,Solar,UKC1,0.0
1,Solar,UKC2,0.0
1,Solar,UKD1,0.0
1,Solar,UKD3,0.0
1,Solar,UKD4,0.0
1,Solar,UKD6,0.0
1,Solar,UKD7,0.0
1,Solar,UKE1,0.0
1,Solar,UKE2,0.0
1,Solar,UKE3,0.0
1,Solar,UKE4,0.0
1,Solar,UKF1,0.0
1,Solar,UKF2,0.0
1,Solar,UKF3,0.0
1,Solar,UKG1,0.0
1,Solar,UKG2,0.0
1,Solar,UKG3,0.0
1,Solar,UKH1,0.0
1,Solar,UKH2,0.0
1,Solar,UKH3,0.0
1,Solar,UKI3,
1,Solar,UKI4,
1,Solar,UKI5,
1,Solar,UKI6,
1,Solar,UKI7,
1,Solar,UKJ1,0.0
1,Solar,UKJ2,0.0
1,Solar,UKJ3,0.0
