time,countries,technology,value
19,HU,HydroRes,28.0
19,IE,HydroRes,1.0
19,IT,HydroRes,4324.0
19,LT,HydroRes,40.0
19,LV,HydroRes,222.0
19,NO,HydroRes,9397.0
19,PL,HydroRes,154.0
19,PT,HydroRes,3085.0
19,RO,HydroRes,3990.0
19,SE,HydroRes,4713.0
19,SI,HydroRes,397.0
19,SK,HydroRes,119.0
19,UK,HydroRes,267.0
20,AT,HydroRes,1070.0
20,BE,HydroRes,7.0
20,BG,HydroRes,210.0
20,CH,HydroRes,1155.0
20,CZ,HydroRes,178.0
20,DE,HydroRes,130.0
20,ES,HydroRes,5569.0
20,FI,HydroRes,480.0
20,FR,HydroRes,4777.0
20,GR,HydroRes,1166.0
20,HR,HydroRes,4619.0
20,HU,HydroRes,27.0
20,IE,HydroRes,1.0
20,IT,HydroRes,4274.0
20,LT,HydroRes,40.0
20,LV,HydroRes,220.0
20,NO,HydroRes,9400.0
20,PL,HydroRes,152.0
20,PT,HydroRes,2989.0
20,RO,HydroRes,3887.0
20,SE,HydroRes,4710.0
20,SI,HydroRes,403.0
20,SK,HydroRes,116.0
20,UK,HydroRes,267.0
21,AT,HydroRes,1075.0
21,BE,HydroRes,7.0
21,BG,HydroRes,223.0
21,CH,HydroRes,1148.0
21,CZ,HydroRes,177.0
21,DE,HydroRes,129.0
21,ES,HydroRes,5493.0
21,FI,HydroRes,478.0
21,FR,HydroRes,4657.0
21,GR,HydroRes,1217.0
21,HR,HydroRes,4489.0
21,HU,HydroRes,26.0
21,IE,HydroRes,1.0
21,IT,HydroRes,4229.0
21,LT,HydroRes,39.0
21,LV,HydroRes,219.0
21,NO,HydroRes,9403.0
21,PL,HydroRes,151.0
21,PT,HydroRes,2901.0
21,RO,HydroRes,3783.0
21,SE,HydroRes,4706.0
21,SI,HydroRes,409.0
21,SK,HydroRes,113.0
21,UK,HydroRes,267.0
22,AT,HydroRes,1079.0
22,BE,HydroRes,7.0
22,BG,HydroRes,231.0
22,CH,HydroRes,1141.0
22,CZ,HydroRes,176.0
22,DE,HydroRes,129.0
22,ES,HydroRes,5425.0
22,FI,HydroRes,477.0
22,FR,HydroRes,4546.0
22,GR,HydroRes,1273.0
22,HR,HydroRes,4355.0
22,HU,HydroRes,25.0
22,IE,HydroRes,1.0
22,IT,HydroRes,4167.0
22,LT,HydroRes,39.0
22,LV,HydroRes,218.0
22,NO,HydroRes,9405.0
22,PL,HydroRes,149.0
22,PT,HydroRes,2821.0
22,RO,HydroRes,3683.0
22,SE,HydroRes,4704.0
22,SI,HydroRes,413.0
22,SK,HydroRes,111.0
22,UK,HydroRes,267.0
23,AT,HydroRes,1082.0
23,BE,HydroRes,7.0
23,BG,HydroRes,233.0
23,CH,HydroRes,1134.0
23,CZ,HydroRes,175.0
23,DE,HydroRes,128.0
23,ES,HydroRes,5362.0
23,FI,HydroRes,476.0
23,FR,HydroRes,4443.0
23,GR,HydroRes,1336.0
23,HR,HydroRes,4225.0
23,HU,HydroRes,24.0
23,IE,HydroRes,1.0
23,IT,HydroRes,4088.0
23,LT,HydroRes,39.0
23,LV,HydroRes,217.0
23,NO,HydroRes,9406.0
23,PL,HydroRes,148.0
23,PT,HydroRes,2747.0
23,RO,HydroRes,3589.0
23,SE,HydroRes,4701.0
23,SI,HydroRes,416.0
23,SK,HydroRes,108.0
23,UK,HydroRes,267.0
24,AT,HydroRes,1086.0
24,BE,HydroRes,7.0
24,BG,HydroRes,232.0
24,CH,HydroRes,1128.0
24,CZ,HydroRes,174.0
24,DE,HydroRes,128.0
24,ES,HydroRes,5301.0
24,FI,HydroRes,475.0
24,FR,HydroRes,4344.0
24,GR,HydroRes,1370.0
24,HR,HydroRes,4106.0
24,HU,HydroRes,23.0
24,IE,HydroRes,1.0
24,IT,HydroRes,4011.0
24,LT,HydroRes,38.0
24,LV,HydroRes,216.0
24,NO,HydroRes,9408.0
24,PL,HydroRes,147.0
24,PT,HydroRes,2679.0
24,RO,HydroRes,3507.0
24,SE,HydroRes,4698.0
24,SI,HydroRes,419.0
24,SK,HydroRes,106.0
24,UK,HydroRes,267.0
25,AT,HydroRes,1088.0
25,BE,HydroRes,7.0
25,BG,HydroRes,231.0
25,CH,HydroRes,1123.0
25,CZ,HydroRes,173.0
25,DE,HydroRes,127.0
25,ES,HydroRes,5242.0
25,FI,HydroRes,473.0
25,FR,HydroRes,4251.0
25,GR,HydroRes,1412.0
25,HR,HydroRes,4001.0
25,HU,HydroRes,22.0
25,IE,HydroRes,1.0
25,IT,HydroRes,3936.0
25,LT,HydroRes,38.0
25,LV,HydroRes,215.0
25,NO,HydroRes,9409.0
25,PL,HydroRes,146.0
25,PT,HydroRes,2616.0
25,RO,HydroRes,3437.0
25,SE,HydroRes,4696.0
25,SI,HydroRes,421.0
25,SK,HydroRes,104.0
25,UK,HydroRes,267.0
26,AT,HydroRes,1090.0
26,BE,HydroRes,7.0
26,BG,HydroRes,229.0
26,CH,HydroRes,1118.0
26,CZ,HydroRes,172.0
26,DE,HydroRes,127.0
26,ES,HydroRes,5187.0
26,FI,HydroRes,472.0
26,FR,HydroRes,4163.0
26,GR,HydroRes,1447.0
26,HR,HydroRes,3901.0
26,HU,HydroRes,21.0
26,IE,HydroRes,1.0
26,IT,HydroRes,3865.0
26,LT,HydroRes,38.0
26,LV,HydroRes,214.0
26,NO,HydroRes,9410.0
26,PL,HydroRes,145.0
26,PT,HydroRes,2558.0
26,RO,HydroRes,3375.0
26,SE,HydroRes,4694.0
26,SI,HydroRes,424.0
26,SK,HydroRes,102.0
26,UK,HydroRes,267.0
27,AT,HydroRes,1092.0
27,BE,HydroRes,7.0
27,BG,HydroRes,227.0
27,CH,HydroRes,1113.0
27,CZ,HydroRes,172.0
27,DE,HydroRes,126.0
27,ES,HydroRes,5136.0
27,FI,HydroRes,471.0
27,FR,HydroRes,4080.0
27,GR,HydroRes,1507.0
27,HR,HydroRes,3808.0
27,HU,HydroRes,20.0
27,IE,HydroRes,1.0
27,IT,HydroRes,3798.0
27,LT,HydroRes,38.0
27,LV,HydroRes,213.0
27,NO,HydroRes,9410.0
27,PL,HydroRes,144.0
27,PT,HydroRes,2506.0
27,RO,HydroRes,3319.0
27,SE,HydroRes,4692.0
27,SI,HydroRes,427.0
27,SK,HydroRes,101.0
27,UK,HydroRes,267.0
28,AT,HydroRes,1095.0
28,BE,HydroRes,7.0
28,BG,HydroRes,225.0
28,CH,HydroRes,1109.0
28,CZ,HydroRes,171.0
28,DE,HydroRes,126.0
28,ES,HydroRes,5093.0
28,FI,HydroRes,471.0
28,FR,HydroRes,4004.0
28,GR,HydroRes,1545.0
28,HR,HydroRes,3723.0
28,HU,HydroRes,20.0
28,IE,HydroRes,1.0
28,IT,HydroRes,3733.0
28,LT,HydroRes,37.0
28,LV,HydroRes,212.0
28,NO,HydroRes,9411.0
28,PL,HydroRes,143.0
28,PT,HydroRes,2461.0
28,RO,HydroRes,3259.0
28,SE,HydroRes,4690.0
28,SI,HydroRes,429.0
28,SK,HydroRes,99.0
28,UK,HydroRes,267.0
29,AT,HydroRes,1096.0
29,BE,HydroRes,7.0
29,BG,HydroRes,226.0
29,CH,HydroRes,1105.0
29,CZ,HydroRes,170.0
29,DE,HydroRes,126.0
29,ES,HydroRes,5057.0
29,FI,HydroRes,470.0
29,FR,HydroRes,3933.0
29,GR,HydroRes,1589.0
29,HR,HydroRes,3646.0
29,HU,HydroRes,19.0
29,IE,HydroRes,1.0
29,IT,HydroRes,3669.0
29,LT,HydroRes,37.0
29,LV,HydroRes,211.0
29,NO,HydroRes,9411.0
29,PL,HydroRes,142.0
29,PT,HydroRes,2420.0
29,RO,HydroRes,3201.0
29,SE,HydroRes,4688.0
29,SI,HydroRes,432.0
29,SK,HydroRes,98.0
29,UK,HydroRes,267.0
